Name,Description,Price,Image
"Ferrero Rocher Hazelnut Chocolates, 2-pack","ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.DelightinthedeliciousandindulgenttasteexperienceofFerreroRocher.Awholehazelnut,dippedinsmoothchocolateycream,wrappedinacrispywafer,coatedinmilkchocolateandcoveredinhazelnutpieces.Wrappedingoldandpresentedwithcare,FerreroRocheristheperfectgifttocelebrateyourholidays.Features:Perfectforholidaygifting,sharingandhostingcelebrationsPackagedinaclearplasticboxwithabeautifuldiamondeffect",34.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1262867-894&recipeName=470
"Leonidas Chocolates Traditional Gold and Red Box containing 30 chocolates, 500 g (17.6 oz)","Surpriseyourlovedone;showyourappreciationtofriends,colleaguesandclients.Thisistheopportunitytooffertheworld’srenownedBelgianchocolates.Madeaccordingtocentury-oldtraditionsandflowninfreshfromBrussels.Leonidasguaranteesthefreshnessandqualityofitschocolates.Thesesarealwaysmadeaccordingtotraditionalmethods,usingonlythefinestingredientslike100%purecocoabutterforthecoating,naturalingredientslikefreshbutterandfreshcream,anddelicaciessuchashazelnutsfromTurkey,MorellocherriesfromthePérigord,almondsfromItalyandwalnutsfromGrenoble;inshort,thefinestingredientstheworldhastooffer.Leonidas’entireselectionofBelgianchocolatescomprisesover90differentindividualpiecesinivory,milkordarkchocolatecoveringswithawidevarietyoffillingssuchasfreshbuttercreams,ganacheswithfreshcreams,pralinefillings,softcaramelcentres,marzipananddeliciouslyfreshorangepeelcoveredindarkchocolate.Theassortmentofferedhereincludesthemostpopularchocolates.Features:1x500g(17.6oz)box–30chocolates",44.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=209173-894&recipeName=470
Galerie au Chocolat – Milk Chocolate Almond Bark ,"ThemagicmarriageofexquisiteBelgianchocolateandpremiumdoubleroastedalmondsisthebasisforthesedeliciousBelgianchocolatealmondbarks.Thewonderfularomaandcrunchytextureofthealmonds,thenmatchedwithhigh-cocoacontentBelgianmilkanddarkchocolates,thesechocolatesalmondbarksaresuretoimpressFeatures:Eachpackcontains400gramsofalmondbarkSpecifications:Dimensions(LxWxH):15.2cmx8.1cmx7.6cm;(6in.x3.2in.x3in.)Weight:4kg(8.8lb.)",99.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=247061-894&recipeName=470
"Galerie au Chocolat Dark Hot Chocolate Shavings, 6-pack","Getreadytoenjoysomeofthebesthotchocolateyouhaveevertasted!ThesecrettothisamazingindulgenceistherealBelgianchocolateshavings,mixedwithwarmmilk(ordareIsaycream?).Asidefrommakinghotchocolate,usetheshavingsasacakedecorationortotopoffyourmorningcappuccino!GalerieauChocolathasbeenproducingsomeofthefinestchocolatesavailableontheCanadianmarketforover30years.AlltheirproductsaremadewithpremiumBelgianchocolate,onlythefinestinclusionsandnoaddedartificialflavourings.Features:Darkhotchocolateshavings–6x200g(7oz.)",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1271207-894&recipeName=470
"Kirkland Signature Chocolate Covered Almonds, 1.5 kg (3.3 lb), 2-pack",ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.Chocolatecoveredalmonds2x1.5kg(3.3lb),35.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2919999-894&recipeName=470
Leonidas 60-piece Belgian Chocolate Jewellery Box,"ThisbeautifulsilkjewelleryboxisfilledupwithaveryniceassortmentofLeonidasBelgianchocolates.Thisselectionincludes15chocolatemousse,pralineandbuttercream,andanassortmentof45Belgianchocolatesquares.Surpriseyourlovedoneoryourselfwiththatchicandtastytreat.Features:60-pieceassortedBelgianchocolatetotal–500g(17.6oz.)Silkjewellerybox",59.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=3790555-894&recipeName=470
Galerie au Chocolat – Dark Chocolate Almond Bark ,"ThemagicmarriageofexquisiteBelgianchocolateandpremiumdoubleroastedalmondsisthebasisforthesedeliciousBelgianchocolatealmondbarks.Thewonderfularomaandcrunchytextureofthealmonds,thenmatchedwithhigh-cocoacontentBelgianmilkanddarkchocolates,thesechocolatesalmondbarksaresuretoimpress.Features:Eachpackcontains400gramsofalmondbarkSpecifications:Dimensions(LxWxH):15.2cmx8.1cmx7.6cm;(6in.x3.2in.x3in.)Weight:4kg(8.8lb.)",99.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=247058-894&recipeName=470
Maple Terroir – Cocoa Dark Chocolate Covered Double Roasted Almonds 6-pack,"MapleTerroirbrandpuremaplesyrupisproducedfromtheregionofChaudiere-Appalaches,Quebec.Theyusesyrupfrommother-naturetoproduceuniqueandtastyproducts.Theiralmondsareroastedin2cycles(doubleroasted)inatraditionalpanningmethod,dippedinpuremaplesyrupanddarkchocolate.Afterbeingair-driedonracks,theyarecoatedincocoapowder.Thistraditionalmethodcreatesacombinationofcaramel-liketasteandcrunchiness.Features:6boxesof150g(5.2oz.)30piecesoftastychocolateperboxNon-GMOroastedalmonds0gtransfatCanadianmadeProducedonequipmentsharedwithdailyeggs,soy,wheat,peanutsandallothernuts",46.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=4480005-894&recipeName=470
Belgian Chocolate Fondue Duo,"Thisduoofchocolateisthebestandeasiestwaytogetyourfonduepartystarted.ThisduocomeswithabagofBelgianchocolatehazelnutpralineandabagofclassicBelgianchocolate–perfectfordarkchocolatelovers.Theseexceptionalflavourswillappealtoalltastes.Theyarealsoeasytoprepareandserve–justputinthemicrowavefor45secondstomelt,pourintoafonduepotandserve.Anyunusedportionleftatroomtemperaturecanbereclosedandstoredupto4months.Thesechocolatesarealsoidealforchocolatefountainsaswellasanaccompanimenttoicecream,pancakesanddesserts.Features:Belgianchocolatehazelnutpraline–425g(14.9oz.)ClassicBelgianchocolate–425g(14.9oz.)",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=345856-894&recipeName=470
"Theobroma 5 Chocolate Sticks Collection Box, 8-pack","TheTheobromaChocolatecollectionboxisanexcellentwaytosharetheTheobromaexperience.Eachboxcontains5ofTheobroma’stopsellingflavours.Theproductsarevegan,organic,fairtradeandhaveaverycleaningredientlist.Therich,silky-smoothtexturereflectsthenobilityoftheorganic,fair-tradebeansused.Amustforfoodiesinsearchofarichcreamydarkchocolate!Theperfectgiftforanyoccasion.Features:OrganiccertifiedFairtradecertifiedNonGMOGlutenfreeVegan",69.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1293833-894&recipeName=470
